# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
埃及王子	プリンス・オブ・エジプト
埃居	エキュ
埃克曼	ヴァン・ヴァルフリート・エクマン
埃克塞特	エクセター
埃拉特	エイラート
埃朗根	エアランゲン
埃里克	エリック
埃力格	エリゴス
埃莉诺	エレオノーレ
埃列什基伽勒	エレシュキガル
埃蒙斯	エモンズ
埃姆登	エムデン
埃纳省	エーヌ県
埃涅阿斯	アイネイアース
埃涅阿斯纪	アエネーイス
埃皮纳勒	エピナル
埃塞俄比亚	エチオピア
埃森	エッセン
埃森哲	アクセンチュア
埃斯比约	エスビャウ
埃斯波	エスポー (フィンランド)
埃斯科巴	エスコバル
埃斯库罗斯	アイスキュロス
埃斯特利	エステリ
埃索美拉唑	エソメプラゾール
埃塔	バスク祖国と自由
埃特纳火山	エトナ火山
埃瓦尔	エイバル
埃文河畔斯特拉特福	ストラトフォード＝アポン＝エイヴォン
埃因霍温	アイントホーフェン
锿	アインスタイニウム
癌	癌腫
癌基因	がん遺伝子
癌症	悪性腫瘍
癌症疫苗	がんワクチン
矮胖子	ハンプティ・ダンプティ
矮人	ドワーフ
矮星系	矮小銀河
矮行星	準惑星
艾奥瓦州	アイオワ州
艾比湖	エビ湖
艾伯塔	アルバータ州
艾迪	エディ
艾丁湖	アイディン湖
艾格蒙特	エグモント
艾哈迈达巴德	アフマダーバード
艾敬	艾敬
艾灸	灸
艾可慕	アイコム
艾克森美孚	エクソンモービル
艾利和	アイリバー
艾莉婕	アリゼ
艾莉森	アリソン (小説)
艾莉娅	アリーヤ
艾路雷朵	エルレイド
艾略特	エリオット
艾略特波浪理论	エリオット波動
艾美奖	エミー賞
艾美酒店	ル・メリディアンホテル&リゾート
艾姆斯	エイムズ (アイオワ州)
艾尼克斯	エニックス
艾萨克	アイザック
艾提尕尔清真寺	エイティガールモスク
艾薇塔	エビータ (ミュージカル)
艾未未	艾未未
艾辛格	アイゼンガルド
艾扬格	B.K.S.アイアンガー
艾因	アル・アイン
艾滋病	後天性免疫不全症候群
爱奥尼亚海	イオニア海
爱宝乐园	エバーランド
爱达荷州	アイダホ州
爱德华	エドワード
爱德华湖	エドワード湖
爱德华兹	エドワーズ
爱德华兹空军基地	エドワーズ空軍基地
爱德基金会	愛徳基金会
爱的魔法	まぶらほ
爱迪生	トーマス・エジソン
爱丁堡	エディンバラ
爱丁堡城堡	エディンバラ城
爱丁堡大学	エディンバラ大学
爱尔兰岛	アイルランド島
爱尔兰共和国	アイルランド
爱尔兰共和军	アイルランド共和軍
爱尔兰咖啡	アイリッシュ・コーヒー
爱尔兰人	アイルランド人
爱国阵线	愛国戦線 (ザンビア)
爱好者	ファン
爱辉区	愛輝区
爱科技	AKG
爱可视	Archos
爱兰	アイラン
爱丽舍宫	エリゼ宮殿
爱丽丝梦游仙境	不思議の国のアリス
爱民区	愛民区
爱琴海	エーゲ海
爱琴海地区	エーゲ海地方 (トルコ)
爱情片	恋愛映画
爱情喜剧	ラブコメディ
爱情游戏	ラヴゲーム
爱情与灵药	ラブ & ドラッグ
爱人	恋人
爱沙尼亚	エストニア
爱沙尼亚语	エストニア語
爱神星	エロス (小惑星)
爱斯基摩人	エスキモー
爱新觉罗氏	愛新覚羅氏
爱野美奈子	愛野美奈子
爱媛县	愛媛県
爱在哈佛	ラブストーリー・イン・ハーバード
砹	アスタチン
安巴尔省	アンバール県
安邦	アンパン・ジャヤ
安倍	安倍
安倍吉俊	安倍吉俊
安倍晋三	安倍晋三
安倍晴明	安倍晴明
安倍昭惠	安倍昭恵
安布雷拉	アンブレラ (バイオハザードシリーズ)
安布罗斯	アンブロシウス・アウレリアヌス
安部公房	安部公房
安部真弘	安部真弘
安城安娜	安城アンナ
安次区	安次区
安达充	あだち充
安达曼海	アンダマン海
安达曼群岛	アンダマン諸島
安达市	安達市
安达信会计师事务所	アーサー・アンダーセン
安打	安打
安大略	オンタリオ州
安大略湖	オンタリオ湖
安道尔	アンドラ
安道全	安道全
安得拉邦	アーンドラ・プラデーシュ州
安得烈	アンデレ
安德的游戏	エンダーのゲーム
安德拉德	アンドラーデ
安德雷斐斯	アンドレアルフス
安德鲁斯空军基地	アンドルーズ空軍基地
安德森	アンダーソン
安德森空军基地	アンダーセン空軍基地
安德斯	アンデシュ
安德瓦利	アンドヴァリ
安德王	安徳王
安迪	アンディ
安帝	安帝
安定郡	安定郡
安定门站	安定門駅
安定王	安定王
安东	安東
安东都护府	安東都護府
安东尼奥	アンソニー
安东市	安東市
安多县	アムド県
安菲特里忒	アムピトリーテー
安福县	安福県
安哥拉	アンゴラ
安哥拉人民共和国	アンゴラ人民共和国
安格斯	アンガス (スコットランド)
安格斯牛	アバディーン・アンガス
安圭拉	アンギラ
安国	安国
安国市	安国市
安和	安和
安赫尔瀑布	エンジェルフォール
安化县	安化県
安徽省	安徽省
安吉利斯	アンヘレス
安吉县	安吉県
安集延	アンディジャン
安杰拉	アンジェーラ
安玖深音	安玖深音
安居区	安居区
安卡拉	アンカラ
安卡拉大学	アンカラ大学
安康市	安康市
安科纳	アンコーナ
安可	アンコール
安克拉治	アンカレッジ
安拉	アッラーフ
安乐	安楽 (年号)
安乐公主	安楽公主
安乐死	安楽死
安利	アムウェイ
安利美特	アニメイト
安联	アリアンツ
安龙县	安竜県
安陆市	安陸市
安曼	アンマン
安眠药	睡眠薬
安纳布尔纳峰	アンナプルナ
安娜堡	アナーバー
安南	アナン
安妮公主	アン (イギリス王女)
安宁河	安寧河
安宁区	安寧区
安宁市	安寧市
安培	アンペア
安平	安平
安平古堡	安平古堡
安平县	安平県
安七炫	安七炫
安琦	安キ
安庆市	安慶市
安丘市	安丘市
安全	安全
安全第一	安全第一
安全工程	安全工学
安全模式	セーフモード
安全期	タイミング法
安全气囊	エアバッグ
安然公司	エンロン
安仁县	安仁県
安塞县	安塞県
安森美	オン・セミコンダクター
安山市	安山市
安山岩	安山岩
安什	アンシュ
安世高	安世高
安室奈美惠	安室奈美恵
安顺市	安順市
安塔利亚	アンタルヤ
安特生	ユハン・アンデショーン
安特卫普	アントウェルペン
安藤百福	安藤百福
安藤麻吹	安藤麻吹
安藤美姬	安藤美姫
安藤真裕	安藤真裕
安藤政信	安藤政信
安藤忠雄	安藤忠雄
安提戈涅	アンティゴネー
安提瓜和巴布达	アンティグア・バーブーダ
安提基特拉机械	アンティキティラ島の機械
安替比林	アンチピリン
安田典生	ヤスダスズヒト
安田猛	安田猛
安条克	アンティオキア
安亭镇	安亭鎮
安图县	安図県
安徒生	ハンス・クリスチャン・アンデルセン
安土	安土
安土城	安土城
安土桃山时代	安土桃山時代
安托士	アンドラス
安维汀	ベバシズマブ
安汶岛	アンボン島
