# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
列缺穴	列缺穴
列日	リエージュ
列王的纷争	王狼たちの戦旗
列仙传	列仙伝
列支敦斯登	リヒテンシュタイン
列治文	リッチモンド (ブリティッシュコロンビア州)
列治文山	リッチモンドヒル (オンタリオ州)
列子	列子
烈火之炎	烈火の炎
烈酒	蒸留酒
烈空坐	レックウザ
烈山区	烈山区
烈士	烈士
烈焰猴	ゴウカザル
烈祖	烈祖
猎豹	チーター
猎户座大星云	オリオン大星雲
猎骄靡	昆莫
猎鹿人	ディア・ハンター
猎犬座	りょうけん座
猎人笔记	猟人日記
猎装车	シューティングブレーク
裂合酶	リアーゼ
裂解	熱分解
裂口女	口裂け女
鬣羚	スマトラカモシカ
邻氨基苯甲酸	アントラニル酸
邻苯二酚	カテコール
邻家特工	ダブル・ミッション
邻接表	隣接リスト
邻接矩阵	隣接行列
邻水县	隣水県
邻域	近傍 (位相空間論)
林	林
林百灵	モリヒバリ
林柏生	林柏生
林保全	林保全
林保怡	ボウイ・ラム
林彪	林彪
林伯渠	林伯渠
林逋	林逋
林查班	レムチャバン港
林昶佐	フレディ・リム
林冲	林冲
林茨	リンツ
林丹	林丹
林丹丹	林丹丹
林丹汗	リンダン・ハーン
林甸县	林甸県
林冠	林冠
林海音	林海音
林亨柱	イム・ヒョンジュ
林徽因	林徽因
林家	林家
林嘉欣	カリーナ・ラム
林觉民	林覚民
林俊杰	林俊傑
林肯纪念堂	リンカーン記念館
林肯郡	リンカンシャー
林肯领航员	リンカーン・ナビゲーター
林肯中心	リンカーン・センター
林口	林口
林口县	林口県
林立果	林立果
林妙可	林妙可
林明美	リン・ミンメイ
林明日香	林明日香
林平之	林平之
林遣都	林遣都
林檎	リンゴ (曖昧さ回避)
林青霞	ブリジット・リン
林森	林森
林森北路	林森北路
林士弘	林士弘
林爽文	林爽文
林文察	林文察
林西县	林西県
林心如	林心如
林姓	林 (漢姓)
林秀晶	イム・スジョン (女優)
林旭	林旭
林雪平	リンシェーピング
林雅诗	グレース・ラム
林业	林業
林依晨	林依晨
林逸欣	林逸欣
林泳	アラン・ラム
林友树	林ゆうき
林宥嘉	林宥嘉
林语堂	林語堂
林郁方	林郁方
林原惠	林原めぐみ
林苑	ジア・リン
林则徐	林則徐
林长民	林長民
林正英	ラム・チェンイン
林芝地区	ニンティ地区
林芝县	ニンティ県
林志玲	林志玲
林志炫	林志ゲン
林州市	林州市
林周县	ルンドゥプ県
林子平	林子平
林子祥	ジョージ・ラム
林子萱	キキ・リン
临安	臨安 (曖昧さ回避)
临安市	臨安市
临沧市	臨滄市
临朝称制	称制
临城县	臨城県
临川区	臨川区
临汾市	臨汾市
临高县	臨高県
临桂区	臨桂区
临海市	臨海市
临河区	臨河区
临江市	臨江市
临澧县	臨レイ県
临清市	臨清市
临朐县	臨ク県
临泉县	臨泉県
临时女友	ガールフレンド（仮）
临沭县	臨ジュツ県
临潭县	臨潭県
临洮县	臨トウ県
临潼区	臨潼区
临渭区	臨渭区
临武县	臨武県
临西县	臨西県
临夏回族自治州	臨夏回族自治州
临夏市	臨夏市
临夏县	臨夏県
临县	臨県
临湘市	臨湘市
临翔区	臨翔区
临猗县	臨猗県
临沂机场	臨沂沭埠嶺空港
临沂市	臨沂市
临邑县	臨邑県
临颍县	臨潁県
临泽县	臨沢県
临漳县	臨ショウ県
临终关怀	姑息的治療
临淄区	臨シ区
淋巴	リンパ
淋巴瘤	悪性リンパ腫
淋病	淋病
淋球菌	淋菌
淋浴	シャワー
磷	リン
磷壁酸	タイコ酸
磷光	燐光
磷化钙	二リン化三カルシウム
磷化铝	リン化アルミニウム
磷化氢	ホスフィン
磷化锌	リン化亜鉛
磷灰石	燐灰石
磷酸	リン酸
磷酸铵	リン酸アンモニウム
磷酸吡哆醛	ピリドキサールリン酸
磷酸二氢钙	重過リン酸石灰
磷酸二酯酶	ホスホジエステラーゼ
磷酸化	リン酸化
磷酸铝	リン酸アルミニウム
磷酸酶	ホスファターゼ
磷酸钠	リン酸三ナトリウム
磷酸铁	リン酸鉄(III)
磷酸锌	リン酸亜鉛
磷酸酯	リン酸エステル
磷脂	リン脂質
磷脂酶	ホスホリパーゼ
鳞	鱗
鳞甲	スケイルアーマー
鳞茎	球根
鳞状细胞癌	扁平上皮癌
麟游县	麟游県
凛	Rin'
凛冬将至	冬来たる (ゲーム・オブ・スローンズ)
伶鼬	イイズナ
灵宝市	霊宝市
灵璧县	霊璧県
灵川县	霊川県
灵谷寺	霊谷寺
灵魂	霊魂
灵魂伴侣	ソウルメイト
灵猫科	ジャコウネコ科
灵丘县	霊丘県
灵渠	霊渠
灵泉寺	霊泉寺
灵山	霊山
灵山寺	霊山寺
灵山县	霊山県
灵石县	霊石県
灵寿县	霊寿県
灵书妙探	キャッスル 〜ミステリー作家は事件がお好き
灵台县	霊台県
灵武市	霊武市
灵吸怪	イリシッド
灵异妙探	サイク/名探偵はサイキック?
灵与肉	肉体と悪魔
灵长动物	真主獣大目
灵长目	サル目
柃木	ヒサカキ
玲音	Serial experiments lain
凌操	凌操
凌海市	凌海市
凌河区	凌河区
凌日	通過 (天文)
凌霄	ノウゼンカズラ
凌烟阁	凌煙閣二十四功臣
凌源市	凌源市
凌云县	凌雲県
凌志	レクサス
铃	鈴
铃儿响叮当	ジングルベル
铃鹿赛道	鈴鹿サーキット
铃木裕	鈴木裕
铃木章	鈴木章
陵城区	陵県
陵川县	陵川県
陵墓	廟
陵水黎族自治县	陵水リー族自治県
绫里千寻	綾里千尋
羚牛	ターキン
羚羊	レイヨウ
聆讯	審問
菱角	ヒシ
菱铁矿	菱鉄鉱
菱形	菱形
零八宪章	零八憲章
零点	零点
零和博弈	ゼロ和
零距离接触	タッチ・マイ・ボディ
零空间	零空間
零陵区	零陵区
零秒出手	ブザー・ビート〜崖っぷちのヒーロー〜
零食	スナック菓子
零售	小売
零向量	零ベクトル
零因子	零因子
零之使魔	ゼロの使い魔
鲮	ケンヒー
岭东区	嶺東区
岭南	嶺南 (中国)
领带	ネクタイ
领海	領海
领海基线	基線 (海)
领奖台	演壇
领空	領空
领事	領事
领事馆	領事館
领土	国土
领域模型	ドメインモデル
令狐潮	令狐潮
令狐楚	令狐楚
令狐德棻	令狐徳フン
令狐愚	令狐愚
令计划	令計劃
令牌环	トークンリング
令牌总线	トークンバス
令尹	令尹
另类摇滚	オルタナティヴ・ロック
另一个天堂	アナザウェイ
溜溜球	ヨーヨー
溜索	ジップライン
刘爱玲	劉愛玲
刘安	劉安
刘半农	劉半農
刘邦	劉邦
刘备	劉備
刘表	劉表
刘宾雁	劉賓雁
刘炳森	劉炳森
刘伯承	劉伯承
刘伯温	劉基
刘粲	劉粲
刘禅	劉禅
刘昌赫	劉昌赫
刘昌毅	劉昌毅
刘成军	劉成軍
刘慈欣	劉慈欣
刘聪	劉聡
刘粹刚	劉粋剛
刘敦桢	劉敦楨
刘鹗	劉鶚
刘福通	劉福通
刘冠雄	劉冠雄
刘海	劉海蟾
刘海东	劉海東
刘黑闼	劉黒闥
刘洪	劉洪
刘华清	劉華清
刘欢	劉歓
刘皇后	劉皇后
刘徽	劉徽
刘家峡水电站	劉家峡水力発電所
刘家窑站	劉家窯駅
刘家义	劉家義
刘建超	劉建超
刘锦棠	劉錦棠
刘菁	劉菁
刘琨	劉コン
刘牢之	劉牢之
刘伶	劉伶
刘猛	劉猛
刘盆子	劉盆子
刘奇葆	劉奇葆
刘淇	劉淇
刘如意	劉如意
刘汝明	劉汝明
刘若英	劉若英
刘少奇	劉少奇
刘劭	劉劭
刘诗昆	劉詩昆
刘诗诗	劉詩詩
刘世振	劉世振
刘松山	劉松山
刘宋	宋 (南朝)
刘陶	劉陶
刘旺	劉旺
刘炜	劉ウェイ
刘文辉	劉文輝
刘文静	劉文静
刘武周	劉武周
刘西元	劉西元
刘希夷	劉希夷
刘熙	劉煕
刘熙载	劉熙載
刘贤	劉賢
刘翔	劉翔
刘向	劉向
刘小光	劉小光
刘晓波	劉暁波
刘晓庆	劉暁慶
刘歆	劉キン (学者)
刘姓	劉氏
刘昫	劉ク
刘延东	劉延東
刘曜	劉曜
刘义符	少帝 (南朝宋)
刘义真	劉義真
刘亦菲	劉亦菲
刘隐	劉隠
刘永	劉永
刘永福	劉永福
刘宇昆	劉宇昆
刘禹锡	劉禹錫
刘云山	劉雲山
刘长春	劉長春
刘长卿	劉長卿
刘桢	劉テイ (建安七子)
刘政会	劉政会
刘知几	劉知幾
刘志军	劉志軍
刘子歌	劉子歌
刘子业	前廃帝 (南朝宋)
浏阳河	瀏陽河
浏阳市	瀏陽市
流鼻血	鼻血
流变学	レオロジー
流产	流産
流程图	フローチャート
流川枫	流川楓
流动比率	流動比率
流动式起重机	移動式クレーン
流局	流局
流局满贯	流し満貫
流浪儿	ストリートチルドレン
流浪犬	野犬
流浪神差	ノラガミ
流量	質量流量
流氓兔	マシマロ (架空のウサギ)
流媒体	ストリーミング
流明	ルーメン
流明星	ルーメン (小惑星)
流散	ディアスポラ
流沙	流砂
流觞曲水	曲水の宴
流体	流体
流体静力学	流体静力学
流体力学	流体力学
流亡	流罪
流亡政府	亡命政府
流线型	流線
流星	流星
流星体	流星物質
流星雨	流星群
流行病	伝染病
流行病学	疫学
流行文化	大衆文化
流行性感冒	インフルエンザ
流行性感冒病毒	インフルエンザウイルス
流行性腮腺炎	流行性耳下腺炎
流行性乙型脑炎	日本脳炎
流行音乐	ポピュラー音楽
流形	多様体
流域	流域
流域面积	流域面積
留坝县	留ハ県
留存收益	内部留保
留尼汪	レユニオン
留学	留学
留园	留園
琉璃	瑠璃
琉璃厂	琉璃厰
琉璃苣	ルリジサ
琉璃瓦	釉薬瓦
琉球国	琉球王国
琉球群岛	琉球諸島
琉森湖	ルツェルン湖
硫	硫黄
硫胺	チアミン
硫醇	チオール
硫代硫酸钠	チオ硫酸ナトリウム
硫化	加硫
硫化钡	硫化バリウム
硫化钠	硫化ナトリウム
硫化物	硫化物
硫化锌	硫化亜鉛
硫化亚铁	硫化鉄(II)
硫化银	硫化銀(I)
硫磺岛	硫黄島 (東京都)
硫柳汞	チメロサール
硫脲	チオ尿素
硫氰酸	チオシアン酸
硫氰酸铵	チオシアン酸アンモニウム
硫氰酸钾	チオシアン酸カリウム
硫氰酸钠	チオシアン酸ナトリウム
硫氰酸盐	チオシアン酸塩
硫酸	硫酸
硫酸铵	硫酸アンモニウム
硫酸钡	硫酸バリウム
硫酸二甲酯	硫酸ジメチル
硫酸二乙酯	硫酸ジエチル
硫酸钙	硫酸カルシウム
硫酸钴	硫酸コバルト(II)
硫酸钾	硫酸カリウム
硫酸锂	硫酸リチウム
硫酸铝	硫酸アルミニウム
硫酸镁	硫酸マグネシウム
硫酸锰	硫酸マンガン(II)
硫酸钠	硫酸ナトリウム
硫酸镍	硫酸ニッケル(II)
硫酸铅	硫酸鉛(II)
硫酸氢钾	硫酸水素カリウム
硫酸氢钠	硫酸水素ナトリウム
硫酸铯	硫酸セシウム
硫酸铁	硫酸鉄(III)
硫酸铜	硫酸銅(II)
硫酸锌	硫酸亜鉛
硫酸亚铁	硫酸鉄(II)
硫酸亚铁铵	硫酸アンモニウム鉄(II)
硫酸银	硫酸銀(I)
硫酸酯	硫酸エステル
硫辛酸	Α-リポ酸
硫循环	硫黄循環
硫氧还蛋白还原酶	チオレドキシンジスルフィドレダクターゼ
硫唑嘌呤	アザチオプリン
榴弹发射器	グレネードランチャー
榴弹炮	榴弾砲
榴莲	ドリアン
瑠川里菜	瑠川リナ
瘤牛	コブウシ
瘤胃	ミノ
柳暗花明	アウェイ・フロム・ハー君を想う
柳北区	柳北区
柳承敏	柳承敏
柳城县	柳城県
柳河县	柳河県
柳江县	柳江県
柳井正	柳井正
柳林县	柳林県
柳南区	柳南区
柳树	ヤナギ
柳宿	柳宿
柳姓	柳 (姓)
柳原可奈子	柳原可奈子
柳州市	柳州市
柳州站	柳州駅
柳宗元	柳宗元
锍	スルホニウム
六安市	六安市
六倍利	ルリミゾカクシ
六本木	六本木
六边形	六角形
六道	六道
六度分隔理论	六次の隔たり
六方会谈	六者会合
六分仪	六分儀
六分仪座	ろくぶんぎ座
六氟化硫	六フッ化硫黄
六合村	六合村 (群馬県)
六合区	六合区
六合夜市	六合夜市
六和塔	六和塔
六花的勇者	六花の勇者
六花工作室	スタジオ・リッカ
六甲山	六甲山
六间房	6.cn
六角星	六芒星
六里桥站	六里橋駅
六氯苯	ヘキサクロロベンゼン
六盘水市	六盤水市
六盘水站	六盤水駅
六卿	六卿
六榕寺	六榕寺
六十四卦	六十四卦
六四事件	六四天安門事件
六韬	六韜
六尾	ロコン
六艺	六芸
六欲天	六欲天
六月初六	6月6日 (旧暦)
六月初三	6月3日 (旧暦)
六月初四	6月4日 (旧暦)
六月初一	6月1日 (旧暦)
六月二十	6月20日 (旧暦)
六月三十	6月30日 (旧暦)
六月十八	6月18日 (旧暦)
六月十二	6月12日 (旧暦)
六月十九	6月19日 (旧暦)
六月十六	6月16日 (旧暦)
六月十七	6月17日 (旧暦)
六月十三	6月13日 (旧暦)
六月十四	6月14日 (旧暦)
六月十五	6月15日 (旧暦)
六月十一	6月11日 (旧暦)
六月雪	ハクチョウゲ
六枝特区	六枝特区
六字真言	六字大明呪
六祖坛经	六祖壇経
龙	竜
龙安区	竜安区
龙川县	竜川県
龙胆	リンドウ
龙胆属	リンドウ属
龙飞	龍飛
龙凤	龍鳳
龙凤区	竜鳳区
龙岗区	竜崗区
龙港区	竜港区
龙骨	竜骨 (船)
龙骨突	竜骨突起
龙海市	竜海市
龙湖区	竜湖区
龙华区	竜華区
龙华站	竜華駅
龙济光	竜済光
龙江县	竜江県
龙井茶	龍井茶
龙井市	竜井市
龙口市	竜口市
龙里县	竜里県
龙陵县	竜陵県
龙马潭区	竜馬潭区
龙猫	となりのトトロ
龙门	竜門
龙门山	竜門山 (曖昧さ回避)
龙门山断层	龍門山断層
龙门石窟	龍門洞窟
龙门县	竜門県
龙目岛	ロンボク島
龙目海峡	ロンボク海峡
龙南县	竜南県
龙脑香科	フタバガキ科
龙启	龍啓
龙清泉	龍清泉
龙泉市	竜泉市
龙泉寺	龍泉寺
龙泉驿区	竜泉駅区
龙沙区	竜沙区
龙山	竜山
龙山文化	龍山文化
龙山县	竜山県
龙生九子	竜生九子
龙胜各族自治县	竜勝各族自治県
龙塔	龍塔
龙田	龍田
龙亭区	竜亭区
龙头鱼	テナガミズテング
龙湾区	竜湾区
龙王	竜王
龙圩区	竜圩区
龙文区	竜文区
龙芯	龍芯
龙兴	龍興
龙岩市	竜岩市
龙眼	リュウガン
龙阳君	竜陽君
龙阳路站	竜陽路駅
龙游县	竜游県
龙鱼	竜魚
龙与地下城	ダンジョンズ&ドラゴンズ
龙云	竜雲
龙泽站	竜沢駅
龙之谷	ドラゴンネスト
龙之皇冠	ドラゴンズクラウン
龙之吻	キス・オブ・ザ・ドラゴン
龙州县	竜州県
龙子湖区	竜子湖区
胧村正	朧村正
笼头	無口
隆	リュウ (ストリートファイター)
隆安县	隆安県
隆昌县	隆昌県
隆德	ルンド
隆德大学	ルンド大学
隆德县	隆徳県
隆化县	隆化県
隆回县	隆回県
隆林各族自治县	隆林各族自治県
隆武	隆武
隆武帝	隆武帝
隆胸	豊胸手術
隆阳区	隆陽区
隆尧县	隆堯県
隆中	隆中
隆子县	ルンツェ県
陇川县	隴川県
陇海铁路	隴海線
陇南市	隴南市
陇西郡	隴西郡
陇西县	隴西県
陇县	隴県
垄断	独占
娄底市	婁底市
娄烦县	婁煩県
娄星区	婁星区
娄烨	婁燁
蒌叶	キンマ
楼兰	楼蘭
楼梯	階段
楼玄	楼玄
漏斗	漏斗
瘘	瘻孔
卢布尔雅那	リュブリャナ
卢布林	ルブリン
卢登	ルーデン
卢浮宫	ルーヴル美術館
卢甘斯克	ルハーンシク
卢格	ルー
卢沟桥	盧溝橋
卢俊义	盧俊義
卢卡	ルッカ
卢卡斯	ルーカス (曖昧さ回避)
卢克	ルケ
卢克莱修	ルクレティウス
卢龙县	盧竜県
卢纶	盧綸
卢娜	ルーナ
卢塞恩	ルツェルン
卢森堡	ルクセンブルク
卢森堡大公	ルクセンブルク大公
卢氏县	盧氏県
卢仝	盧仝
卢瓦尔河	ロワール川
卢瓦尔省	ロワール県
卢湾区	盧湾区
卢旺达	ルワンダ
卢姓	盧
卢循	盧循
卢永祥	盧永祥
卢照邻	盧照鄰
卢作孚	盧作孚
庐江县	廬江県
庐山	廬山
庐山区	廬山区
庐山云雾茶	廬山雲霧
庐阳区	廬陽区
芦丁	ルチン
芦荟	アロエ
芦名未帆	稲森しほり
芦名星	芦名星
芦名尤莉亚	芦名ユリア
芦山县	蘆山県
芦淞区	蘆淞区
芦笋	アスパラガス
芦苇	ヨシ
芦苇莺	ヨーロッパヨシキリ
芦鹀	オオジュリン
芦溪县	蘆渓県
泸定县	瀘定県
泸沽湖	瀘沽湖
泸水县	瀘水県
泸西县	瀘西県
泸溪县	瀘渓県
泸县	瀘県
泸州市	瀘州市
炉	炉
炉霍县	炉霍県
鸬鹚捕鱼	鵜飼い
颅骨	頭蓋骨
鲈形目	スズキ目
鲈鱼	ヨーロピアンパーチ
卤虫属	アルテミア
卤地菊	ネコノシタ
卤化物	ハロゲン化物
卤化银	ハロゲン化銀
卤素	第17族元素
卤素灯泡	ハロゲンランプ
鲁	魯 (曖昧さ回避)
鲁昂	ルーアン
鲁邦三世	ルパン三世
鲁滨逊漂流记	ロビンソン・クルーソー
鲁菜	山東料理
鲁涤平	魯滌平
鲁甸县	魯甸県
鲁尔河	ルール川
鲁尔区	ルール地方
鲁国	魯
鲁桓公	桓公 (魯)
鲁米诺	ルミノール
鲁珀特之泪	プリンス・ラパートの滴
鲁山县	魯山県
鲁肃	魯粛
鲁王	魯王
鲁汶	ルーヴェン
鲁襄公	襄公 (魯)
鲁姓	魯 (姓)
鲁迅	魯迅
鲁迅美术学院	魯迅美術学院
鲁隐公	隠公 (魯)
鲁智深	魯智深
镥	ルテチウム
甪直镇	ロク直鎮
陆川县	陸川県
陆定一	陸定一
陆法言	陸法言
陆丰市	陸豊市
陆皓东	陸皓東
陆河县	陸河県
陆机	陸機
陆绩	陸績
陆家嘴站	陸家嘴駅
陆贾	陸賈
陆建章	陸建章
陆军	陸軍
陆军省	陸軍省
陆康	陸康
陆克文	ケビン・ラッド
陆良县	陸良県
陆行鸟	チョコボ
陆姓	陸 (姓)
陆缘海	縁海
陆云	陸雲
陆宗舆	陸宗輿
录尚书事	録尚書事
鹿豹座	きりん座
鹿城区	鹿城区
鹿鼎记	鹿鼎記
鹿儿岛	鹿児島
鹿儿岛市	鹿児島市
鹿儿岛县	鹿児島県
鹿藿	タンキリマメ
鹿泉区	鹿泉市
鹿台	鹿台
鹿特丹	ロッテルダム
鹿特丹港	ロッテルダム港
鹿特丹影展	ロッテルダム国際映画祭
鹿威	ししおどし
鹿野苑	サールナート
鹿邑县	鹿邑県
鹿苑寺	鹿苑寺
鹿寨县	鹿寨県
鹿钟麟	鹿鍾麟
鹿子百合	カノコユリ
禄丰县	禄豊県
禄劝彝族苗族自治县	禄勧イ族ミャオ族自治県
碌曲县	ルチュ県
路	路
路北区	路北区
路博德	路博徳
路氹城	コタイ
路德维希	ルートヴィヒ
路德维希港	ルートヴィヒスハーフェン・アム・ライン
路虎	ランドローバー
路加	ルカ
路加福音	ルカによる福音書
路肩	路肩
路路通	クリッパーカード
路南区	路南区
路怒症	ロード・レージ
路桥区	路橋区
路透社	ロイター
路西法	ルシファー
路姓	路 (姓)
路演	ロードショー (映画用語)
路易港	ポートルイス
路易吉	ルイージ (ゲームキャラクター)
路易九世	ルートヴィヒ9世
路易七世	ルートヴィヒ7世
路易十八	ルイ18世 (フランス王)
路易十六	ルイ16世 (フランス王)
路易十三	ルイ13世 (フランス王)
路易十四	ルイ14世 (フランス王)
路易十五	ルイ15世 (フランス王)
路易十一	ルイ11世 (フランス王)
路易斯	ルイ
路易斯安那州	ルイジアナ州
路易一世	ルイス1世
路由	ルーティング
路由表	ルーティングテーブル
路由器	ルーター
路由协议	ルーティングプロトコル
路障	バリケード
潞城市	ロ城市
麓山寺	麓山寺
露点	露点温度
露兜树科	タコノキ科
露兜树目	タコノキ目
露兜树属	タコノキ属
露露	ルル (オペラ)
露露公主	ルル姫
露水	露
露宿者	ホームレス
露营	キャンプ
驴	ロバ
驴羚	リーチュエ
驴骡	ケッテイ
吕贝克	リューベック
吕不韦	呂不韋
吕布	呂布
吕岱	呂岱
吕洞宾	呂洞賓
吕端	呂端
吕伐登	レーワルデン
吕坤	呂坤
吕丽萍	呂麗萍
吕梁市	呂梁市
吕留良	呂留良
吕蒙	呂蒙
吕蒙正	呂蒙正
吕塞尔斯海姆	リュッセルスハイム
吕氏春秋	呂氏春秋
吕叔湘	呂叔湘
吕文焕	呂文煥
吕翔	呂翔
吕姓	呂
吕正操	呂正操
吕雉	呂雉
旅	旅団
旅客列车	旅客列車
旅人蕉	タビビトノキ
旅鼠	レミング
旅顺博物馆	旅順博物館
旅顺口区	旅順口区
旅顺南路	旅順南路
旅途	風ノ旅ビト
旅途愉快	ボン・ヴォヤージュ (ディズニーショップ)
旅行	旅行
旅行社	旅行代理店
旅行之歌	サラエボの花
旅行支票	トラベラーズチェック
旅游	観光
铝	アルミニウム
铝热法	テルミット法
铝土矿	ボーキサイト
律	律
律藏	律蔵
律法	律法
律令	律令
律诗	律詩
律政司	律政司
律宗	律宗
绿坝娘	グリーンダムたん
绿翅鸭	コガモ
绿川英子	長谷川テル
绿春县	緑春県
绿豆	リョクトウ
绿巨人	ハルク
绿孔雀	マクジャク
绿林军	緑林軍
绿萝	ポトス
绿毛虫	キャタピー
绿帽子	寝取られ
绿色革命	緑の革命
绿色和平	グリーンピース (NGO)
绿色化学	グリーンサスティナブルケミストリー
绿色营销	グリーンマーケティング
绿松石	トルコ石
绿头鸭	マガモ
绿尾虹雉	カラニジキジ
绿胸八色鸫	ズグロヤイロチョウ
绿叶蔬菜	葉菜類
绿一色	緑一色
绿玉髓	クリソプレーズ
绿园区	緑園区
绿洲乐队	オアシス (バンド)
氯	塩素
氯胺酮	ケタミン
氯苯	クロロベンゼン
氯苯那敏	クロルフェニラミン
氯丙嗪	クロルプロマジン
氯丹	クロルデン
氯丁二烯	クロロプレン
氯丁橡胶	クロロプレンゴム
氯仿	クロロホルム
氯氟烃	フロン類
氯化铵	塩化アンモニウム
氯化钯	塩化パラジウム(II)
氯化汞	塩化水銀(II)
氯化钴	塩化コバルト
氯化钾	塩化カリウム
氯化锂	塩化リチウム
氯化铝	塩化アルミニウム
氯化镁	塩化マグネシウム
氯化锰	塩化マンガン(II)
氯化钠	塩化ナトリウム
氯化镍	塩化ニッケル(II)
氯化氢	塩化水素
氯化氰	塩化シアン
氯化铯	塩化セシウム
氯化石蜡	塩素化パラフィン
氯化铁	塩化鉄(III)
氯化铜	塩化銅(II)
氯化物	塩化物
氯化锌	塩化亜鉛
氯化亚砜	塩化チオニル
氯化亚汞	塩化水銀(I)
氯化亚铁	塩化鉄(II)
氯化银	塩化銀(I)
氯己定	クロルヘキシジン
氯甲烷	クロロメタン
氯解磷定	プラリドキシムヨウ化メチル
氯雷他定	ロラタジン
氯霉素	クロラムフェニコール
氯酸	塩素酸
氯酸钙	塩素酸カルシウム
氯酸钾	塩素酸カリウム
氯酸钠	塩素酸ナトリウム
氯酸盐	塩素酸塩
氯硝西泮	クロナゼパム
氯乙烷	クロロエタン
氯乙烯	クロロエチレン
葎草	カナムグラ
滤光器	光学フィルター
孪生素数	双子素数
栾城区	欒城県
栾川县	欒川県
滦河	ラン河
滦南县	ラン南県
滦平县	ラン平県
滦县	ラン県
卵	卵
卵巢	卵巣
卵巢癌	卵巣腫瘍
卵磷脂	レシチン
卵母细胞	卵母細胞
卵泡	卵胞
卵生动物	卵生
卵胎生	卵胎生
卵细胞	卵細胞
乱婚	乱婚
乱世佳人	風と共に去りぬ (映画)
乱序执行	アウト・オブ・オーダー実行
略阳县	略陽県
伦巴	ルンバ
伦巴第	ロンバルディア州
伦勃朗	レンブラント・ファン・レイン
伦德	レンデ
伦敦	ロンドン
伦敦大学学院	ユニヴァーシティ・カレッジ・ロンドン
伦敦地铁	ロンドン地下鉄
伦敦交响乐团	ロンドン交響楽団
伦敦桥	ロンドン橋
伦敦塔	ロンドン塔
伦理学	倫理学
伦斯	レンス
伦斯勒理工学院	レンセラー工科大学
轮滑	ローラースケート
轮回	輪廻
轮入道	輪入道
轮台县	ブグル県
轮椅冰壶	車いすカーリング
轮指	トレモロ
论衡	論衡
论坛	フォーラム
论文	論文
论语	論語
论自由	自由論 (ミル)
罗安达	ルアンダ
罗宾汉	ロビン・フッド
罗伯特	ロベルト
罗布林卡	ノルブリンカ
罗布麻	ラフマ
罗布泊	ロプノール
罗常培	羅常培
罗城仫佬族自治县	羅城モーラオ族自治県
罗得岛	ロドス島
罗德城	ロードタウン
罗德里戈	ロドリゴ
罗德里格斯	ロドリゲス
罗德兹	ロデーズ
罗迪	ロッディ
罗蒂	ルオーティ
罗甸县	羅甸県
罗定市	羅定市
罗尔定理	ロルの定理
罗芳伯	羅芳伯
罗非鱼	ティラピア
罗干	羅幹
罗格列酮	ロシグリタゾン
罗贯中	羅貫中
罗汉柏	アスナロ
罗红霉素	ロキシスロマイシン
罗睺	ラーフ
罗睺罗	羅ご羅
罗湖	羅湖
罗湖区	羅湖区
罗湖站	羅湖駅
罗加诺公约	ロカルノ条約
罗江县	羅江県
罗杰斯	ロジャース
罗卡角	ロカ岬
罗克韦尔	ロックウェル・インターナショナル
罗拉快跑	ラン・ローラ・ラン
罗赖马山	ロライマ山
罗兰夫人	ロラン夫人
罗兰之歌	ローランの歌
罗蕾莱	ローレライ
罗马	ローマ
罗马大学	ローマ・ラ・サピエンツァ大学
罗马法	ローマ法
罗马共和国	共和政ローマ
罗马化	ラテン文字化
罗马俱乐部	ローマクラブ
罗马军团	ローマ軍団
罗马里奥	ロマーリオ
罗马神话	ローマ神話
罗马数字	ローマ数字
罗曼诺夫王朝	ロマノフ朝
罗曼语族	ロマンス諸語
罗密欧与朱丽叶	ロミオとジュリエット
罗摩衍那	ラーマーヤナ
罗姆人	ロマ
罗纳德	ロナルド
罗纳尔迪尼奥	ロナウジーニョ
罗纳尔多	ロナウド
罗纳河	ローヌ川
罗盘座	らしんばん座
罗平	羅平
罗平县	羅平県
罗荣桓	羅栄桓
罗瑞卿	羅瑞卿
罗萨里奥	ロサリオ
罗萨斯	ロザス
罗森海姆	ローゼンハイム
罗森塔尔	ローゼンタール
罗山县	羅山県
罗氏	エフ・ホフマン・ラ・ロシュ
罗斯	ルーシ
罗斯福	ルーズベルト
罗斯海	ロス海
罗斯托夫	ロストフ
罗斯托克	ロストック
罗斯威尔	ロズウェル
罗宋汤	ボルシチ
罗素	ラッセル
罗素悖论	ラッセルのパラドックス
罗素兄弟	ルッソ兄弟
罗田县	羅田県
罗瓦涅米	ロヴァニエミ
罗洗河	羅洗河
罗霄山脉	羅霄山脈
罗兴亚人	ロヒンギャ
罗雪娟	羅雪娟
罗伊斯	ロイス
罗源县	羅源県
罗真人	羅真人
罗振玉	羅振玉
罗庄区	羅庄区
萝北县	蘿北県
萝岗区	蘿崗区
逻辑	論理学
逻辑代数	ブール代数
逻辑电平	負論理
逻辑或	論理和
逻辑链路控制	論理リンク制御
逻辑论证	論証
逻辑推理	論理的推論
