# Chinese → Japanese learner glosses
# Source: lxl66566/Japanese-Chinese-thesaurus final.json
# Upstream: https://github.com/lxl66566/Japanese-Chinese-thesaurus
# License: The Unlicense
# Method: invert concise Chinese gloss segments and intersect bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
啊	おお・やあ
目的	的・目当て
目的地	目的地
目瞪口呆	あきれる
目光	目つき
目击者	目撃者
目录	リスト
目前	ここのところ・今の所
目眩	眩暈
沐浴	浴びる
牧场	牧場
募捐	募金
墓地	墓地
幕	幕
幕后	背後
拿	取る・携える
拿出	出す・取り出す
拿出去	持ち出す
拿到	手に入れる・掴み取る
拿回	取り戻す
拿起	取り上げる・持ち上げる
拿手	上手
哪边	どちら・どっち
哪儿的话	とんでもありません
哪个	どれ
哪个地方	どこ
哪里	どこ・どっち
哪里的话	とんでもない
哪怕是	せめて
那	あれ・それ
那边	あちら・あっち
那不勒斯	ナポリ
那次	その節
那个地方	あそこ・そこ
那个人	あの人
那家伙	あいつ
那就这样吧	では，これで
那里	あそこ・あっち
那么	あれほど・それでは
那么说	それにしては
那时	そのころ・その節
那是	それはもう
那小子	あいつ
那样	あれだけ・さほど
那样的话	それなら
那种	あんな
那种程度	あれくらい/あれぐらい
纳豆	納豆
乃至	乃至
奶油	クリーム
妳	あなた
耐久力	耐久力
耐力	スタミナ
耐用	長持ち
耐用性	耐久力
男服务员	ボーイ
男孩	こ男の子
男孩子	男の子・男子
男女	男女
男女差异	ジェンダー
男女老少	老若男女
男朋友	彼・彼氏
男性	男・男子
男子	ひと男の人・男
南岸	南岸
南半球	南半球
南北	南北
南边	南
南瓜	カボチャ
南极	南極
难办	困ります
难得	ありがたい
难得的	有難い
难的	難しい
难度	難しさ
难对付	手こずる
难怪	道理で
难过	辛い
难看的	かっこ悪い・みすぼらしい
难舍	愛着
难受	困る・辛い
难题	難題
难为情	照れる
难为情的	くすぐったい・決まり悪い
难以	苦しむ
难以处理	持て余す
难以理解	不可解
囊肿	出来物
挠	引っ掻く・掻く
脑	脳
脑袋	首
脑死亡	脳死
闹矛盾	摩擦・擦れ合う
闹钟	アラーム・目覚まし
内部	奥
内定	内定
内阁	内閣
内含	孕む
内裤	パンツ
内幕	裏
内情	内幕
内容	中身/中味・実
内线电话	インターフォン・インターホン
内心	下心・心
内心冲突	葛藤
内行	玄人
内需	内需
内衣	下着
内脏	内臓
嫩芽	芽
嫩叶	若葉
能担任	勤まる/務まる
能干	敏腕・有能
能够	できます
能看到	見られる
能力	スケール・能
能量	エネルギー
能实现	叶う
能有	持てる
能源	エネルギー
嗯	あのう・え―と
尼龙	ナイロン
泥	泥
泥砂	土砂
泥潭	泥濘
你	あなた・おまえ
你的意思是	よいうと
你好	アンニョンハシムニカ・ニーハオ
你好吗	お元気ですか
你辛苦了	ご苦労様です
拟声词	オノマトペ
昵称	ニックネーム
逆光	逆光
逆流而上	遡る
逆着	逆らう
匿名	覆面
溺爱	ちやほや
溺死	川流れ
腻烦	いやというほど・うんざり
年代	年間
年底	年末・暮れ
年度	年度・年次
年份	年次
年号	年号
年纪	年配
年间	年間
年龄	年・年齢
年末	年末
年轻	年少・若さ
年轻的	若々しい・若い
年轻人	ヤング・若者
年轻一代	ヤング
年收入	年収
年薪	年収
年幼	幼い
年月	年月
年月日	デート・日付
黏度	粘り
黏糊糊	ねちねち・べたべた
黏黏糊糊	ぐちゃぐちゃ
黏土	粘土
黏性	粘り
黏住	粘着
念	唱える・念
念法	読み方
念经	念仏
念书	勉強します
念头	念・思惑
念完	読み上げる
娘家	実家
酿酒	酒造
鸟类	鳥
捏	揉む
捏一把汗	はらはら
捏造	でっち上げる・拵える
您贵姓	お名前は？
您辛苦了	お疲れ様です
宁静	澄む
宁可	むしろ
拧	もぎ取る・抓る
柠檬	レモン
凝	こらす・凝らす
凝固	固まる
牛奶	ミルク・牛乳
牛排	ステーキ
牛仔裤	ジーンズ
扭	くじける・捻る
扭了	挫ける
扭扭捏捏	もじもじ
扭曲	ゆがみ
扭送	突き出す
扭转	捻る
纽约	ニューヨーク
农村	田舎・農村
农家	農家
农历	旧暦
农民	農家
农药	農薬
农业	農業
农作物	作物・農作物
浓的	深い・濃い
浓度	濃度
浓厚	濃厚
浓厚的	しつこい
弄错	行き違い・誤る
弄倒	ひっくり返す・転がす
弄干	乾かす
弄坏	台無し・壊す
弄乱	かき乱す・乱す
弄破	破る
弄清	確かめます・確かめる
弄清楚	捌く・見極める
弄伤	傷つける・傷付ける
弄湿	潤う
弄碎	こなす・砕く
弄疼	痛める
弄醒	覚ます
弄虚作假	ごまかす・水増し
弄脏	濁す
奴隶	奴隷
努力	一生懸命・努める
怒	怒り
怒气冲冲	ぷんぷん
怒上心头	むっと
女衬衫	ブラウス
女儿	娘
女儿节	お雛様・雛祭り
女服务员	ウェートレス
女孩	こ女の子・ガール
女孩子	女の子・女子
女朋友	彼女
女士	婦人
女性	ウーマン・女
女掌柜	女将
女招待	ホステス
女主人	ホステス・女将
女子	ひと女の人・女
暖和	ぽかぽか・暖まる/温まる
暖炉	こたつ
暖心的	麗しい
虐待	迫害
挪动	ずらす
挪走	退かす
懦弱	卑怯・臆病
噢	よう
哦	ほう
欧美	欧米
欧洲	ヨーロッパ
殴打	殴る
呕吐	吐く
偶尔	たまたま・どうかすると
偶然	たまたま・ひょっと
偶然相遇	ばったり
偶数	偶数
偶像	アイドル
偶像明星	タレント
趴下	伏せる
爬	這う
爬山	山登り・登山
爬上	攀じ登る
爬行	這う
拍	撮ります
拍卖	オークション
拍摄	撮影
拍手	拍手
拍照	撮る
俳句	俳句
徘徊	うろうろ・さまよう
排	並びます
排出废气	排気
排除	乗り切る・排除
排队	並ぶ
排练	おさらい・稽古
排列	つながる・アレンジする
排列成行	連ねる
排遣	紛らす
排球	バレーボール
排序	ランク
排演	稽古
牌楼	瀋庁
牌子	ブランド・看板
派出	派遣
派出所	交番
派遣	発する
攀登	攀じ登る
攀缘	這う
盘货	棚卸し
盘问	問いただす
蹒跚	ふらふら
判断	判定・判断
判断错误	勘違い
判分	採点
判决	審判
叛乱	反乱
盼望	待ち望む
彷徨	さまよう・まごつく
庞贝古城	ポンペイ
旁边	かたわら・傍
旁听	聴講
胖的	太い
胖乎乎	ふっくら
抛出去	放り出す
抛弃	投げ出す・突き放す
刨	削る・掘る
刨冰	かき氷
跑步	ランニング
跑出	飛び出す
泡	泡・浸す
泡沫	バブル・泡
泡澡	つかる・浸かる
炮弹	弾
陪伴	付き添う
陪同	添える
培训	養成
培养	しつける・仕立てる
培育	育む
赔偿	償う・補償
赔罪	お詫び
佩带	帯びる
佩服	恐れ入る・感心
配备	据え付ける・整備
配合	協力・合わす
配料	具
配齐	整備
配色	色合い
配置	配置
喷出	吹き出す・噴き出す
喷泉	噴水
喷嚏	くしゃみ
盆	鉢
怦怦地跳	どきどき
抨击	攻撃
烹调	炊事
烹饪法	レシピ
朋友	仲間・友
棚	棚
棚子	小屋
膨胀	膨大
捧	掬う
碰	触る・触れる
碰到	出くわす
碰上	出会う・突き当たり
碰头	待ち合わせ・待ち合わせる
碰运气	一か八か
批发	卸す
批判	批判
批评	批判
批售	卸す・卸売り
批准	承認・決裁
披肩	スカーフ
劈开	裂く
皮带	ストラップ・バンド
皮肤	皮膚
皮肤病	皮膚病
皮革	革
皮货	毛皮
疲惫的	しんどい
疲倦	疲れる
疲劳	くたびれる・疲れ
疲劳过度	過労
疲累	疲れます
啤酒	ビール
琵琶	琵琶
脾气	気心・気象
匹敌	類
癖好	癖
偏差	ずれ
偏见	色眼鏡
偏离	ずれる・逸れる
偏颇	偏る
偏袒	偏る
片假名	かたかな・片仮名
骗人	乗せる
骗术	手品
飘洒	飛び散る
飘扬	閃く
票	チケット・パス
票房	興行
票据	手形
漂浮	漂う
漂亮	スタイリッシュ・スマート
漂亮的	きれい・美しい
漂洋过海	海路
拼	賭ける
拼搏	健闘
拼凑出	でっち上げる
拼命	一生懸命・懸命
拼命干	体当たり
拼盘	盛り合わせ
贫乏	貧困
贫困	窮乏・貧乏
贫穷	貧しい・貧乏
贫弱	貧弱
频道	チャンネル
品尝	味わう
品尝会	試飲会
品牌	ブランド
品行	行い
品行不端	不良
品质	品・性質
品质管理	品質管理
品种	品種
聘请	招致
乒乓球	ピンポン
平	平ら
平安	平穏・無事
平常	一様・常
平成	平成
平等	対等・平等
平定	定める
平凡	月並み
平方米	平方メートル
平分	引き分け
平复	鎮まる
平和	穏和
平和的	和やか
平衡	バランス・均衡
平假名	ひらがな・平仮名
平静	和らぐ・平穏
平静的	和やか
平静下来	和む
平均	まんべんなく・平均
平均分	平均点
平均分配	等分
平民	庶民
平日	ウイークデー・平日
平时	平日・日頃
平手	引き分け
平素	常々・平常
平坦	平ら
平稳	水平・穏やか
平稳的	なだらか
平息	終息・鎮まる
平庸	単調・月並み
平原	原・平原
评定	査定
评价	思惑・評判
评论	批判・批評
评论员	モニター
评审	審査
评委	審査員
评语	コメント
凭靠	凭れる・凭れ掛かる
凭空捏造	無実
苹果	りんご
屏幕	スクリーン
瓶颈	ネック
瓶子	ボトル・瓶
坡度	傾斜・勾配
泼出去的水	覆水
泼冷水	冷ます
颇	大いに・相当
颇为	だいぶ
颇有意思	興味深い
迫近	切迫・差し迫る
迫切	痛切
迫切要求	要望
迫使	強いる
迫在眼前	横たわる
破产	パンク・倒産
破坏	壊す・打ち破る
破例	破格
破裂	不調・割れます
破破烂烂	ぼろぼろ
破碎	砕ける
破屋子	あばら家
魄力	気力
剖析	分析・解剖
扑过来	飛びつく
扑过去	飛びつく
扑克牌	トランプ
葡萄	ブドウ
葡萄酒	ワイン
葡萄牙语	ポルトガル語
葡萄柚	グレープフルーツ
蒲扇	団扇
朴实	地味
朴素	あっさり・地味
普遍	まんべんなく・一般
普通	一通り・常
普通话	共通語
普通人	公衆
谱曲	作曲
铺盖	布団
铺设	架ける
七	七（しち/なな）②/
七个	7つ・七つ
七岁	七つ
妻子	女房・妻
凄惨	さんざん・哀れ
栖息地	生息地
期待	当て・待望
期间	期間・間
期满	満ちる
期望	志望
期限	期日・期限
欺凌	いじめる
欺骗	ごまかす・偽る
欺诈	詐欺
漆	漆
漆黑	真っ黒
漆器	漆
齐藤	斉藤
齐整	すっきり
其次	次に
其后	その後
其他	別
其他人	別人
奇怪	不思議
奇怪的	おかしい・ひょんな
奇迹	奇跡
奇妙	妙
奇妙的	奇妙
奇事	驚異
奇特	風変わり
歧视	差別
祈祷	祈り・祈願
祈求	祈る
骑	跨る
旗	旗
旗帜	旗
旗帜下	傘下
企划	プロジェクト
企图	下心・企てる
企业	企業
岂有此理	けしからん・もってのほか
启	御中
启程	旅立つ
启动	作動・動かす
启发	ヒント・啓発
启蒙	手引き
启示	啓発
起床	起きます・起きる
起床晚	朝寝坊
起劲儿	弾む
起居室	リビングルーム・居間
起来	起きます
起落	起伏
起码	せめて
起名	名付ける
起身	起きる
起誓	誓約
起诉	起訴
起跳	踏み切る
起效	役立つ
起源	始まり・源
起皱	縮む
起作用	作用・働く
气	気
气度	気品
气氛	トーン・空気
气愤	怒り・憤る
气候	天候・気候
气候异常	異常気象
气势	勢い
气味	匂い
气息	匂い・息
气象局	気象庁
气象厅	気象庁
气压计	バロメーター
弃之不顾	放る
汽车	自動車・車
汽车旅馆	モーテル
汽笛	サイレン
汽油	ガソリン
契机	きっかけ・境
契约	契約
器具	器具・機器/器機
器皿	入れ物・器
器械	器具・器械
器重	重んじる
掐	抓る・摘む
恰当	いいかげん・当て嵌まる
恰到好处	こんがり
恰好	あたかも・きちきち
恰巧路过	通りかかる
千	千
千差万别	千差万別
千锤百炼	洗練
千方百计	あの手この手を使って・何とか
千篇一律	マンネリ・ワンパターン
千与千寻	千と千尋の神隠し
迁居	転じる
牵肠挂肚	気をもむ
牵连	巻き込む・引っ掛かる
牵牛花	朝顔
铅版	ステレオタイプ
谦恭	遜る/謙る
谦虚	謙遜
谦虚的	謙虚
谦逊	謙譲・遜る/謙る
签	くじ
签订	締結
签名	サイン・署名
签署	調印
签证	ビザ
签字	サイン
前	上/下/前/後ろ/隣/中/外
前方	先方・行く手
前和后	前後
前后	つじつま
前后相继	前後
前进	前進・歩む
前进道路	進路
前景	ビジョン
前列	上位
前面	先・前
前去	出向く
前天	おととい・一昨日
前途	前途・行く手
前往	出向く・向かう
前些日子	ひところ・先だって
前些天	この間
前言	前書き
前夜	前夜
前一半	前半
前一次	前回
前兆	前触れ
前者	前者
钱	お金・金銭
钱款	金銭
钱市胡同	銭市胡同
潜藏	潜む・潜める
潜水	ダイビング
潜在	潜む
浅的	浅い・淡い
谴责	非難
欠款	掛け
欠债	負債
呛人的	煙たい
枪	銃
腔调	口調
强逼	強いて・無理やり
强大	強力
强的	強い
强调	強調
强风	強風
强国	大国
强过	勝る
强化	強化・補強
强加于人	押し付ける
强碱	アルカリ
强烈	がんがん・頻りに
强迫	強いて・強いる
强硬	硬化
强硬起来	強まる
强有力的	力強い
强于	増し
强制	無理
强制的	強引
强壮	健勝
强壮的	強い・逞しい
墙	塀
墙根	垣根
抢夺	奪う・略奪
抢劫	ひったくり・押し込む
悄悄地	こっそり・ひっそり
悄悄溜走	抜け出す
敲	叩く
敲打	ノック
敲门	ノック
乔装	仕立てる・化ける
桥	橋
桥梁	架け橋
巧克力	チョコレート
巧妙	器用
巧妙的	鮮やか
巧遇	巡り合う
窍门	要領
翘	反る
切	カット・切ります
切断	押し切る・断ち切る
切割	切れ
切开	切る・切開
切身	身近
窃窃私语	ささやく
窃听	盗聴
惬意	寛ぐ
亲近	懐く・近づける
亲近感	親近感
亲密	仲良く・仲良くする
亲密的	懇ろ・親しい
亲密无间	しっぽり
亲戚	我が家・親戚
亲戚关系	義理
亲切	愛想・親しむ
亲切的	親しい
亲切关怀	親心
亲善大使	親善大使
亲生父母	生みの親
亲手做	手作り
亲属	親戚・身内
亲眼	現に
亲眼看到	目撃
亲自	直に・自ら
亲自动手	手がける
侵犯	侵す・侵害
侵害	侵す
侵入	侵入する
侵蚀	蝕む
侵袭	冒す・襲う
侵占	侵す・食う
秦代	秦
勤奋	こつこつ・まめ
勤劳	勤勉
勤劳的人	働き者
寝具	夜具
青春期	思春期
青椒	ピーマン
青梅竹马	幼馴染
青木	青木
青森县	青森県
氢	水素
轻	軽い
轻的	ライト
轻度	軽度
轻而易举	朝飯前
轻而易举的	たわいない
轻浮	おっちょこちょい
轻飘飘	ふわふわ
轻轻	そよそよ
轻轻地	そっと・軽々と
轻视	嘗める/舐める・見下ろす
轻松	のんびり・リラックスする
轻松地	ひょいと
轻松的	気安い
轻微	軽度
轻易	手軽
倾向	傾向・傾斜
倾向于	傾く
倾斜	傾く・傾ける
倾注	傾ける
清澈	澄む・透き通る
清晨	朝方
清除	一掃
清楚	くっきり・はっきり
清楚的	端的
清代	清
清单	目録
清淡	あっさり・薄味
清风	涼風
清洁	清潔
清静	澄む
清泉水	清水
清扫	掃除
清爽	さっぱり
清水寺	清水寺
清算	清算
清晰	冴える・透徹
清晰的	シャープ
清洗	クリーニング・洗う
清新	透徹
清醒	冴える・覚める
清一色	一色
清账	決算
清浊	清濁
情报	情報
情调	風情
情感	思い
情节	筋
情结	コンプレックス
情景	光景・風景
情况	事情・事態
情况良好	好調
情理	道理
情侣	カップル
情侣装	ペアルック
情面	義理
情趣	哀れ・情緒
情人	彼
情人节	バレンタインデー
情形	場合・始末
情绪	情緒・感情
情绪高涨	沸騰
情义	人情・情け
情意绵绵	しっぽり
情愿	甘んじる
晴空	青天・青空
晴空万里	晴れ上がる
晴朗	快晴・晴れ上がる
晴朗的	晴れ晴れしい・長閑
晴天	晴れ
请	どうか・どうぞ
请多关照	どうぞよろしく［お願いします］・よろしくお願い申し上げます
请过来	お越しいただく
请假	休み・休む
请教	伺います・伺う
请客	奢る・持て成す
请求	仰ぐ・依頼します
请帖	招待券・案内状
庆典	フェスティバル・［お］祭り
庆贺	お祝い・祝賀
庆祝	祝う
穷尽	尽きる
穷苦	貧しい
秋分时节	彼岸
秋风	木枯らし
秋季	秋
秋老虎	残暑
秋千	ぶらんこ
秋叶原	秋葉原
球	鞠
球拍	ラケット
球网	ネット
区别	区別・差別
区别对待	差別
区分	分かれる
区间	区間
区域	区域
曲调	メロディ
曲奇饼干	クッキー
曲艺	芸能
曲折	屈折・紆余曲折
驱除	追放・駆除
驱赶	追い出す
屈从	屈する
屈指可数	屈指・有数
趋势	傾向・勢い
趋向	赴く
取材	取材
取出	取り出す・摘出
取代	代わりに
取得	取る・得る
取得成果	実を結ぶ
取缔	取り締まる
取回	取り戻す・引き取る
取回来	取り返す
取钱	引き出す
取下	下ろす/降ろす
取消	キャンセル・キャンヤル
龋齿	虫歯
去	いらっしゃる・おいで
去除	外す・脱する
去掉	去る・無くす
去年	去年
去向	進路
趣味	味わい
趣闻	エピソード
圈	キーホルダー
全部	いっぱい・そっくり
全部力量	全力
全都	いずれも・一色
全国	全国
全国人民代表大会	全人代・全国人民代表大会
全会	総会
全军覆没	全滅
全力	ベスト・最善
全力以赴	体当たり
全面	もろに
全能	万能
全年	年中
全球的	グローバル
全权处理	仕切る
全然	まったく・一向
全身	全身
全世界的	グローバル
全体	みんな・一同
全无	皆無
全员	全員
权衡	はかり
权力	パワー・権力
权利	権利
权势	勢力・権威
权威	大家・大所
权限	権限
权宜	便宜・場当たり
权益	権益
泉	泉
泉水	泉
拳法	拳法
拳术	拳法
痊愈	治る
劝告	すすめる・忠告
劝解	宥める
劝诫	戒める
劝说	勧誘・説く
劝诱	勧める
券	チケット・パス
缺点	弱み・弱点
缺乏	不足・日照り
缺欠	欠く
缺勤	欠勤
缺少	欠かす・欠く
缺陷	欠陥
确保	確保
确定	定まる・確立
确切	確か
确切的	確たる
确实	いかにも・まさに
确信	信じる・確信
裙子	スカート
群	グループ・群れ
群集	群集
群体	塊
群众	大衆・庶民
然而	けど・けれども
然后	あと・そのうえ
燃料	燃料
燃起来	燃え上がる
燃烧	焼けます
染色剂	着色料
让步	譲歩
让出	明け渡す
让给	譲る
让开	退く
饶恕	勘弁・見逃す
扰乱	かき乱す・乱す
绕道	回り道
绕弯	回ります
绕远	回り道・遠回り
热	暑い、熱い
热爱	愛する
热潮	ブーム
热忱	熱意
热点	焦点
热浪	熱波
热量	カロリー・熱量
热烈	盛り上がる・盛ん
热门话题	持ち切り
热闹	賑わう
热闹的	にぎやか［な］・賑やか
热气	湯気
热气流	熱波
热情	意気込み・熱っぽい
热水	湯
热心	熱心
热衷	凝る・夢中になる
热衷于	気触れる
人	者
人工	人工
人工制造	人造
人很少	がらがら
人类	人間・人類
人类基因组	ヒトゲノム
人力	人力・手間
人伦	倫理
人们	人々
人民币	人民元
人偶	人形
人品	心掛け・柄
人情	人情・義理
人山人海	人込み
人生	ライフ・人生
人世	世間
人事	人事
人事变动	人事異動
人手	人・人手
人数	人数
人体	人体
人物简介	プロフィール
人行道	歩道
人员调动	人事異動
人员开支	人件費
人造卫星	人工衛星
仁慈	情け
仁慈的	情け深い
忍耐	凌ぐ・堪える
忍受	凌ぐ・堪える
忍者	忍者
忍住	抑える/押さえる
认不出来	見違える
认定	認定
认可	合点・認める
认清	見据える
认识	存・知る
认识到	自覚
认识的人	知り合い
认为	存じる・思います
认真	まとも・まめ
任何	なんら
任命	命じる
任务	任務・使命
任意	任意
扔	ぶつける・投げる
扔出去	投げ出す・放り出す
扔进	投げ込む
仍	まだまだ
仍旧	相変わらず
仍然	まだ・やはり
日本	日本
日本关东	関東
日本航空	日本航空
日本酒	日本酒・［お］酒
日本列岛	日本列島
日本铁路	ジャパンレールウェイズ
日比谷公园	日比谷公園
日常生活	身の回り
日常事务	常務
日程	スケジュール・日取り
日程表	スケジュール
日出	日の出
日光	日光
日后	先々・後日
日历	暦
日期	デート・日
日清食品	日清食品
日式	和式
日式风格	和風
日头	太陽
日系	日系
日用品	雑貨
日语	日本語
日元	…円・円
日元贬值	円安
日中	日中
日资	日系
日子	日・日々
绒线	毛糸
荣升	栄転
荣幸	幸い
容积	容積
容量	ボリューム・容積
容貌	器量
容纳	収まる・収容
容器	容器
容忍	我慢
容许	許す
容易	すんなり・安易
容易的	容易い・易い
容易混淆的	紛らわしい
溶化	とろける・溶かす
溶解	溶く
溶液	溶液
熔化	溶ける
熔岩	溶岩
融合	馴染む
融洽	しっくり・打ち解ける
融入	溶け込む
融资	融資
冗长	だらだら・長々
柔道	柔道
柔和的	しなやか・優しい
柔嫩	繊細
柔软的	しなやか・ソフト
柔弱	弱さ
揉	擦る
揉成团	丸める
揉搓	もむ
肉	肉
肉类	肉
肉末	ひき肉
肉食	肉食
肉体	生身
肉馅	ひき肉
如此的	こうした
如此的话	でしたら
如果	もしかして・もしも
如果可以的话	できれば
如何	どれほど
如何的	いかなる
如今	今にして・今頃
如期	きちっと
如实	ありのまま
如愿以偿	かなう
蠕动	もぐもぐ
乳酸饮料	ヨーグルト
入场	入場
入场者	入場者
入伙	組み込む
入籍	帰化
入境	入国
入门	アルファベット
入门阶段	初歩
入门书	手引き
入迷	うっとり・夢中
入席	着ける
入学教育	オリエンテーション
入学金	入学金
入学考试	入学試験
入浴	入浴
入座	着席
软管	チューブ・ホース
软件	ソフトウェア
软弱无力	ぐったり
锐减	激減
锐利	尖る
润泽	艶
若干	いくつか
弱的	弱い
弱点	弱み・弱点
撒	散らす・零す
撒尿	おしっこ
撒手不干	引き下がる
洒	零す
洒落	零れる・飛び散る
洒脱	スマート
塞	塞ぐ
塞入	押し込む
赛过	欺く
赛马	競馬
赛跑	かけっこ・ランニング
三个	3つ
三国时代	三国時代
三角	三角
三角形	三角・三角形
三明治	サンドイッチ
三浦	三浦
三岁	三つ
三文鱼	サーモン
三言两语	ひと言
三叶草	クローバー
伞	傘
散	散らす
散播	ばらまく
散布	散らす
散财	ばらまく
散发	ばらまく・配布
散会	お開き・解散
散开	分散
散乱	散らばる
散落	散る
散漫	荒廃
散文	エッセイ
散席	お開き
嗓子	喉元
丧失	失う
搔	引っ掻く
骚动	騒ぐ・騒動
骚乱	騒ぎ
骚扰者	ストーカー
扫	掃く
扫除	清掃
扫墓	墓参り
扫兴	冷ます・殺風景
色斑	染み
色彩	カラー
色调	トーン
色拉	サラダ
森林	森
森林破坏	森林破壊
僧侣	僧侶
杀菌	消毒
杀人	殺害
沙	砂
沙发	ソファー
沙漠	砂漠
沙沙	さらさら
沙沙响	かさかさ
沙特阿拉伯	サウジアラビア
沙土	土砂
沙子	砂
纱布	ガーゼ
纱窗	網戸
纱门	網戸
刹车	ブレーキ
刹那	瞬間
刹那间	とっさ
砂砾	砂利
砂糖	砂糖
煞费苦心	創意工夫
煞风景	殺風景
傻瓜	馬鹿
晒	炙る
晒干	干す・日焼け
晒黑	焼く
山	山
山本	山本
山崩	山崩れ
山地	山地
山顶	山頂・峠
山峰	峰
山沟	谷
山谷	谷
山脚	麓
山口	山口
山麓	麓
山区	山地
山体滑坡	山崩れ
山下	山下
山阳	山陽
山中	山中
删除	削除・消去
删掉	削除
删改	改竄
删去	カット・削る
杉树	杉
珊瑚	珊瑚
煽动	扇ぐ
闪电	稲光
闪闪发光	ぴかぴか・煌々
闪烁	煌く・瞬く
闪耀	きらきら・煌く
陕西省	陝西省
扇	扇ぐ
扇子	扇子
善	善
善恶	清濁・良し悪し
善后	後始末・後片づけ
善于倾听	聞き上手
擅长	上手・得意
擅自	無断
擅自进入	踏み込む
伤	傷付ける・怪我
伤疤	傷跡
伤害	傷付ける・害する
伤亡	死傷
伤员	けが人
商场	ショッピングモール・デパート
商店	お店・ショップ
商店街	商店街
商定	取り決める・約束
商量	問答・打ち合わせる
商品	品・品物
商品开发	商品開発
商人	商人
商社	商社
商谈	話し合い・語り合う
商务	コマーシャル
商业	コマーシャル・ビジネス
商业广告	コマーシャル
商业街	商店街
商业区	ショッピングセンター・繁華街
商议	相談
赏花	花見・［お］花見
上	上り
上班	出勤・勤務
上半年度	上半期
上半期	上半期
上部	頂
上车	乗車
上次	前回
上当	引っ掛かる
上等	高級
上帝	神
上个月	先月
上海公司	上海公司
上和下	上下
上级	上司
上进心	向上心
上课	授業
上年纪	老いる・老ける
上坡	上り/登り
上任	赴任・赴任する
上色	彩る・染色
上上个月	先々月
上升	上昇・昇る
上司	上司・上役
上诉	上告・控訴
上溯	さかのぼる
上锁	ロック
上位	上位
上午	午前・午前；早晨
上下	甲乙
上下学	登下校
上下移动	上下
上行	上り・上り/登り
上学	入学・在学
上颜色	着色
上一辈	先代
上衣	上着
上映	上映・興行
上涨	上昇・高騰
上座	上位
尚且	尚
尚未	未だ・未だに
捎话	ことづける
烧	炊く・焼きます
烧光	嘗める/舐める
烧毁	焼きます
烧开	沸かす・沸く
烧烤	バーベキュー
烧起来	燃え上がる
烧伤	火傷します
烧水壶	湯沸かし
稍后	あとで
稍稍	やや
稍微	いくらか・いささか
稍许	一種
勺子	しゃもじ・スプーン
少量	少量
少年	少年
少女	ガール
少数	少数
少许	塵・少々
绍兴	紹興
绍兴酒	紹興酒
哨子	笛
奢侈	贅沢
奢华	おごる・豪華
奢望	贅沢
赊账	付け・掛け
舌头	舌
蛇	蛇
舍不得	惜しむ
舍弃	捨てます
设备	施設・装置
设定	設定
设法	なにとぞ
设计	デザイン
设计师	デザイナー
设计图	図面
设立	設ける・設置
设施	施設
设想	仮想・想像
设有	備わる
设置	仕掛ける・備え付ける
社会	世の中・世間
社会情况	世相
社会舆论	世論・物議
社交关系	間柄
社论	社説
社区	団地
社团	サークル
射击	撃つ
摄取	摂取
摄像	撮る
摄像机	ビデオカメラ
摄影	撮影
摄影师	カメラマン
谁	だれ（どなた）
申辩	申し訳
申斥	決め付ける
申请	申し込み・申し込む
申请书	申し込み用紙・申込書
申请者	申込者
伸出	出す・差し出す
伸开	張る
伸懒腰	背伸び
伸缩	伸縮
伸展	伸びる
身边	左右・足元/足下
身材	スタイル・体
身材矮小	小柄
身材苗条	すらりと
身份	地位・資格
身高	背・身長
身世	身の上・身元
身体	体格・身体
身体发冷	寒気
身体好	元気［な］
身体状况	体調
身体姿势	身振り
身无一物	裸
身心	心身
身心俱疲	ぼろぼろ
身心舒畅	すっと
身与心	心身
身长	丈・体長
呻吟	唸る
绅士	紳士
深处	奥
深的	深い
深冬	真冬
深度	深み
深感	応える
深厚	深み
深化	深める・深化
深咖啡色	焦げ茶
深刻	深刻
深蓝	真っ青・紺
深了	更ける
深切	痛切
深入	入り込む
深深地	さんざん
深信	思い込む
深夜	夜更け・深夜
深渊	淵
什么	あれ？・何
什么都	何もかも
什么时候	いつ
什么也	何もかも
神经	神経
神经过敏	ノイローゼ
神经痛	神経痛
神经质	神経質
神龛	床の間
神秘	ミステリー・神秘
神社	神社
神仙	神
神志清醒	正気
神舟五号	神舟５号
审查	審査・考査
审查人员	審査員
审定	査定
审核	考査
审美能力	センス
审判	審判・裁く
审批	決裁
审问	取り調べる
审讯	取り調べる
审议	審議
甚	甚だ・甚だしい
甚大	甚大
甚至	それどころか
渗	滲む
渗出	滲む
渗入	浸透
渗透	染み込む
慎重	慎む
慎重起见	念のため
升格	格上げ
升级	昇る・昇進
升降电梯	エレベーター
升学考试	入学試験
生	生・生える
生病	病む
生菜	レタス
生产	産出・製作
生产过剩	過剰生産
生存	生きます・生きる
生存者	生存者
生的	生物
生动	いきいき・生き生き
生动的	動的・生々しい
生还者	生存者
生孩子	出産
生活	ライフ・暮らし
生活方式	ライフスタイル
生活状态	生態
生计	暮らし・生活
生来	生まれつき
生命	ライフ・命
生命科学	ライフサイエンス
生命力	バイタリティー・活力
生漆	漆
生气	むかつく・むかむか
生气勃勃	いきいき
生日	誕生日
生疏	不案内
生死	生死
生态学	エコ・エコロジー
生物	生き物
生鲜	生物
生锈	錆びる
